state,collection_date,Inpatient Beds Occupied Estimated,Percentage of Inpatient Beds Occupied Estimated,Total Inpatient Beds,Inpatient Beds Occupied by COVID-19 Patients Estimated,Percentage of Inpatient Beds Occupied by COVID-19 Patients Estimated,Staffed Adult ICU Beds Occupied Estimated,Percentage of Staffed Adult ICU Beds Occupied Estimated,Total Staffed Adult ICU Beds
PA,2020-12-04,"24,806",76.46,"32,441","6,047",18.83,"3,355",83.07,"4,039"
RI,2020-12-04,"1,741",86.75,"2,007",430,21.43,145,89.51,162
SC,2020-12-04,"7,992",82.33,"9,707","1,017",10.48,"1,016",80.8,"1,258"
SD,2020-12-04,"1,474",62.17,"2,371",485,20.46,180,78.6,229
TN,2020-12-04,"12,435",75.17,"16,542","2,593",16.15,"1,883",86.22,"2,184"
TX,2020-12-04,"48,816",75.19,"65,096","9,384",14.45,"6,474",89.08,"7,278"
UT,2020-12-04,"3,159",60.6,"5,213",606,11.63,484,75.04,645
VA,2020-12-04,"12,098",70.82,"17,082","1,771",10.37,"1,424",70.32,"2,025"
VT,2020-12-04,719,61.3,"1,173",33,2.81,70,67.48,103
WA,2020-12-04,"8,624",67.72,"12,735","1,038",8.15,932,71.15,"1,310"
WV,2020-12-04,"3,915",77.36,"5,061",673,13.3,495,81.15,610
WY,2020-12-04,660,48.53,"1,360",222,16.44,65,56.52,115
WI,2020-12-04,"8,462",68.34,"12,382","1,896",15.65,"1,087",67.52,"1,610"
CW,2020-12-05,"512,030",72.69,"704,537","103,896",14.83,"65,819",77.03,"85,454"
AK,2020-12-05,923,63.44,"1,455",161,11.07,96,75.0,128
AL,2020-12-05,"10,553",74.8,"14,108","1,962",13.91,"1,302",88.69,"1,468"
AR,2020-12-05,"5,287",70.73,"7,475","1,079",14.43,796,79.84,997
AZ,2020-12-05,"10,425",75.76,"13,761","2,996",21.79,"1,445",71.22,"2,029"
CA,2020-12-05,"47,020",75.27,"62,468","10,598",16.99,"5,947",81.27,"7,318"
CO,2020-12-05,"6,881",67.64,"10,173","1,815",17.84,"1,051",70.77,"1,485"
CT,2020-12-05,"6,025",73.99,"8,143","1,339",16.44,642,58.2,"1,103"
DC,2020-12-05,"2,374",81.41,"2,916",216,7.41,272,80.47,338
DE,2020-12-05,"1,771",70.11,"2,526",383,15.16,148,82.22,180
FL,2020-12-05,"40,159",77.77,"51,635","4,873",9.61,"4,979",79.7,"6,247"
GA,2020-12-05,"15,316",80.66,"18,988","2,741",14.44,"2,300",86.89,"2,647"
HI,2020-12-05,"1,706",69.43,"2,457",52,2.12,137,61.99,221
IA,2020-12-05,"4,814",60.33,"7,980",938,11.91,498,73.13,681
ID,2020-12-05,"1,794",57.63,"3,113",440,14.13,219,75.78,289
IL,2020-12-05,"19,994",68.43,"29,219","5,338",18.27,"2,514",68.01,"3,697"
IN,2020-12-05,"11,178",67.73,"16,504","3,153",19.1,"1,703",78.3,"2,175"
KS,2020-12-05,"4,602",58.74,"7,835","1,150",14.68,631,77.9,810
KY,2020-12-05,"8,252",69.53,"11,869","1,695",14.28,"1,162",74.5,"1,559"
LA,2020-12-05,"8,619",68.58,"12,568","1,217",9.86,"1,365",76.6,"1,782"
MA,2020-12-05,"11,582",71.11,"16,286","1,296",7.96,"1,018",60.06,"1,695"
MD,2020-12-05,"7,894",81.52,"9,683","1,922",19.85,"1,008",78.57,"1,283"
ME,2020-12-05,"1,923",67.03,"2,869",208,7.23,237,75.48,314
MI,2020-12-05,"15,978",77.41,"20,642","3,987",19.31,"2,152",82.55,"2,607"
MN,2020-12-05,"7,334",73.88,"9,927","1,818",18.31,778,79.96,973
MO,2020-12-05,"10,989",78.65,"13,972","2,561",18.33,"1,549",87.51,"1,770"
MS,2020-12-05,"4,952",62.12,"7,972","1,095",13.76,689,81.54,845
MT,2020-12-05,"1,894",66.24,"2,860",386,13.5,167,73.25,228
NC,2020-12-05,"16,043",75.61,"21,219","2,437",11.96,"1,980",81.45,"2,431"
ND,2020-12-05,"1,510",74.6,"2,024",380,18.75,146,95.44,154
NE,2020-12-05,"3,202",68.13,"4,700",761,16.47,409,72.13,567
NH,2020-12-05,"1,884",67.99,"2,771",182,6.57,165,58.51,282
NJ,2020-12-05,"14,838",76.31,"19,445","3,366",17.31,"1,584",68.01,"2,329"
NM,2020-12-05,"2,611",72.98,"3,578",851,23.79,397,96.77,410
NV,2020-12-05,"5,890",79.84,"7,377","1,713",23.77,784,86.73,904
NY,2020-12-05,"34,174",72.69,"47,014","5,377",11.44,"3,522",58.76,"5,994"
OH,2020-12-05,"20,362",69.75,"29,191","5,294",18.18,"3,176",77.69,"4,088"
OK,2020-12-05,"6,389",68.48,"9,330","1,587",17.27,949,88.61,"1,071"
OR,2020-12-05,"4,718",73.68,"6,403",662,10.34,529,67.99,778
PA,2020-12-05,"24,413",75.33,"32,406","6,130",19.11,"3,353",82.26,"4,076"
RI,2020-12-05,"1,680",83.29,"2,017",436,21.62,145,89.51,162
SC,2020-12-05,"7,641",78.99,"9,673","1,005",10.39,"1,001",79.26,"1,263"
SD,2020-12-05,"1,420",59.97,"2,368",467,19.72,171,76.0,225
TN,2020-12-05,"12,025",72.81,"16,516","2,608",16.27,"1,839",84.47,"2,177"
TX,2020-12-05,"47,121",73.61,"64,196","9,140",14.27,"6,437",88.48,"7,284"
UT,2020-12-05,"3,015",57.83,"5,214",581,11.14,486,77.64,626
VA,2020-12-05,"11,260",65.89,"17,090","1,745",10.21,"1,353",66.75,"2,027"
VT,2020-12-05,653,55.67,"1,173",25,2.13,68,65.38,104
WA,2020-12-05,"8,371",66.22,"12,641","1,064",8.42,893,68.59,"1,302"
WV,2020-12-05,"3,785",75.29,"5,027",649,12.91,506,82.95,610
WY,2020-12-05,636,46.11,"1,379",219,15.99,65,54.49,119
WI,2020-12-05,"8,148",65.81,"12,381","1,796",14.83,"1,057",65.94,"1,603"
CW,2020-12-06,"498,289",71.19,"700,092","105,045",15.07,"64,678",75.97,"85,139"
AL,2020-12-06,"10,376",73.38,"14,140","2,017",14.26,"1,284",87.65,"1,465"
AZ,2020-12-06,"10,102",74.35,"13,587","3,076",22.67,"1,438",70.8,"2,031"
CA,2020-12-06,"45,857",74.72,"61,372","10,887",17.76,"5,843",79.88,"7,315"
CT,2020-12-06,"5,779",71.08,"8,130","1,361",16.74,605,54.8,"1,104"
DC,2020-12-06,"2,330",81.38,"2,863",229,8.0,266,78.24,340
DE,2020-12-06,"1,702",67.54,"2,520",379,15.04,147,81.67,180
GA,2020-12-06,"14,907",78.8,"18,918","2,830",14.96,"2,276",86.15,"2,642"
ID,2020-12-06,"1,724",55.54,"3,104",437,14.08,203,71.73,283
IN,2020-12-06,"10,969",66.54,"16,486","3,194",19.37,"1,704",78.02,"2,184"
KS,2020-12-06,"4,482",57.69,"7,769","1,151",14.82,657,82.54,796
LA,2020-12-06,"8,387",66.86,"12,545","1,262",10.25,"1,344",74.92,"1,794"
MD,2020-12-06,"7,535",80.08,"9,409","1,812",19.26,"1,003",78.85,"1,272"
MI,2020-12-06,"15,385",75.49,"20,381","3,988",19.57,"2,097",82.01,"2,557"
AK,2020-12-06,874,60.32,"1,449",163,11.25,82,64.57,127
AR,2020-12-06,"5,104",69.08,"7,389","1,060",14.35,787,78.94,997
CO,2020-12-06,"6,566",64.51,"10,179","1,743",17.12,"1,021",68.89,"1,482"
FL,2020-12-06,"38,887",75.65,"51,406","4,887",9.68,"4,861",77.89,"6,241"
HI,2020-12-06,"1,644",66.97,"2,455",49,2.0,132,59.73,221
IA,2020-12-06,"4,623",57.85,"7,992",898,11.38,485,71.01,683
IL,2020-12-06,"19,512",66.76,"29,227","5,354",18.32,"2,461",66.6,"3,695"
KY,2020-12-06,"8,153",68.69,"11,869","1,716",14.46,"1,163",74.6,"1,559"
MA,2020-12-06,"11,283",71.1,"15,869","1,378",8.68,"1,026",63.41,"1,618"
ME,2020-12-06,"1,871",65.24,"2,868",208,7.25,226,72.2,313
MN,2020-12-06,"6,995",71.68,"9,758","1,773",18.17,717,75.08,955
MO,2020-12-06,"10,632",77.32,"13,750","2,509",18.25,"1,503",85.49,"1,758"
MS,2020-12-06,"4,841",61.12,"7,920","1,143",14.46,673,80.5,836
MT,2020-12-06,"1,835",64.21,"2,858",391,13.68,164,73.54,223
NC,2020-12-06,"15,712",73.91,"21,257","2,511",11.88,"1,946",80.18,"2,427"
ND,2020-12-06,"1,480",73.3,"2,019",377,18.96,140,95.24,147
NE,2020-12-06,"3,028",64.66,"4,683",777,16.88,395,69.79,566
NH,2020-12-06,"1,857",67.02,"2,771",202,7.29,169,59.93,282
NJ,2020-12-06,"14,429",74.51,"19,366","3,455",17.84,"1,569",67.37,"2,329"
NM,2020-12-06,"2,776",73.65,"3,769",874,23.19,423,103.68,408
NV,2020-12-06,"5,889",79.82,"7,378","1,777",24.65,793,86.76,914
NY,2020-12-06,"33,514",71.34,"46,976","5,421",11.54,"3,440",57.49,"5,984"
OK,2020-12-06,"6,161",66.49,"9,266","1,599",17.52,951,89.55,"1,062"
PA,2020-12-06,"23,861",73.77,"32,347","6,175",19.3,"3,242",79.66,"4,070"
SC,2020-12-06,"7,455",77.25,"9,651","1,058",10.96,991,78.34,"1,265"
SD,2020-12-06,"1,385",58.81,"2,355",462,19.62,163,69.36,235
TN,2020-12-06,"11,920",72.55,"16,431","2,656",16.66,"1,826",83.99,"2,174"
UT,2020-12-06,"2,857",54.81,"5,213",577,11.07,462,73.8,626
VA,2020-12-06,"11,010",64.54,"17,058","1,816",10.65,"1,357",66.68,"2,035"
VT,2020-12-06,626,53.37,"1,173",24,2.05,57,54.81,104
OH,2020-12-06,"19,918",67.92,"29,324","5,363",18.33,"3,145",77.56,"4,055"
OR,2020-12-06,"4,595",72.39,"6,348",674,10.62,499,65.14,766
RI,2020-12-06,"1,726",84.2,"2,050",448,21.85,144,86.23,167
TX,2020-12-06,"45,494",72.35,"63,065","9,221",14.66,"6,348",88.01,"7,220"
WA,2020-12-06,"8,209",65.51,"12,530","1,094",8.73,901,69.41,"1,298"
WI,2020-12-06,"7,795",62.92,"12,389","1,734",14.31,"1,004",62.83,"1,598"
WV,2020-12-06,"3,624",71.88,"5,042",647,12.83,484,79.34,610
WY,2020-12-06,613,43.23,"1,418",208,14.77,61,48.41,126
CW,2020-12-07,"504,357",72.04,"700,428","108,022",15.49,"64,848",76.4,"84,885"
AL,2020-12-07,"10,496",74.11,"14,163","2,096",14.8,"1,315",89.21,"1,474"
AZ,2020-12-07,"10,058",74.13,"13,568","3,162",23.34,"1,406",69.64,"2,019"
CA,2020-12-07,"46,241",75.45,"61,286","11,406",18.64,"5,857",80.43,"7,282"
CT,2020-12-07,"5,808",71.49,"8,124","1,388",17.09,611,55.34,"1,104"
DC,2020-12-07,"2,318",80.15,"2,892",255,8.82,269,82.77,325
DE,2020-12-07,"1,717",68.35,"2,512",398,15.84,151,83.89,180
GA,2020-12-07,"15,053",79.79,"18,866","2,926",15.51,"2,279",86.2,"2,644"
ID,2020-12-07,"1,761",56.95,"3,092",444,14.38,193,67.96,284
IN,2020-12-07,"10,912",67.23,"16,231","3,170",19.53,"1,711",78.88,"2,169"
KS,2020-12-07,"4,488",57.63,"7,788","1,166",14.97,657,81.61,805
LA,2020-12-07,"8,544",67.99,"12,567","1,354",10.97,"1,350",75.67,"1,784"
MD,2020-12-07,"7,681",80.92,"9,492","1,912",20.14,"1,011",79.05,"1,279"
MI,2020-12-07,"15,341",75.06,"20,438","4,072",19.92,"2,050",80.46,"2,548"
AK,2020-12-07,847,58.45,"1,449",157,10.84,90,72.0,125
AR,2020-12-07,"5,228",70.36,"7,431","1,055",14.2,826,81.62,"1,012"
CO,2020-12-07,"6,554",64.37,"10,181","1,755",17.24,991,66.87,"1,482"
FL,2020-12-07,"39,652",76.91,"51,554","5,060",9.99,"4,954",79.47,"6,234"
HI,2020-12-07,"1,673",67.27,"2,487",59,2.37,147,63.64,231
IA,2020-12-07,"4,681",58.75,"7,967",904,11.5,489,71.49,684
IL,2020-12-07,"19,537",66.79,"29,250","5,232",17.89,"2,409",65.28,"3,690"
KY,2020-12-07,"8,187",68.98,"11,868","1,786",15.05,"1,153",73.96,"1,559"
MA,2020-12-07,"11,428",71.95,"15,884","1,395",8.78,"1,045",64.35,"1,624"
ME,2020-12-07,"1,900",66.36,"2,863",213,7.44,231,73.1,316
MN,2020-12-07,"7,033",73.49,"9,570","1,824",19.06,747,77.01,970
MO,2020-12-07,"10,847",77.47,"14,001","2,573",18.38,"1,538",87.24,"1,763"
MS,2020-12-07,"5,006",62.84,"7,966","1,155",14.53,685,81.45,841
MT,2020-12-07,"1,859",65.05,"2,858",390,13.66,159,70.98,224
NC,2020-12-07,"16,129",75.48,"21,368","2,590",12.2,"1,978",81.1,"2,439"
ND,2020-12-07,"1,447",72.13,"2,006",392,19.85,124,86.11,144
NE,2020-12-07,"3,178",67.55,"4,705",829,17.92,408,70.92,576
NH,2020-12-07,"1,862",67.2,"2,771",230,8.3,177,62.77,282
NJ,2020-12-07,"14,698",75.68,"19,420","3,591",18.49,"1,579",67.16,"2,351"
NM,2020-12-07,"2,856",75.48,"3,784",863,22.81,412,100.98,408
NV,2020-12-07,"5,881",79.79,"7,371","1,793",24.89,788,85.71,920
NY,2020-12-07,"34,241",72.97,"46,923","5,707",12.16,"3,424",58.6,"5,843"
OK,2020-12-07,"6,260",66.94,"9,351","1,605",17.42,956,88.93,"1,075"
PA,2020-12-07,"24,100",74.7,"32,263","6,425",20.14,"3,274",80.34,"4,075"
SC,2020-12-07,"7,561",78.33,"9,653","1,133",11.74,990,78.26,"1,265"
SD,2020-12-07,"1,437",61.15,"2,350",459,19.53,170,73.28,232
TN,2020-12-07,"12,238",74.3,"16,472","2,718",16.99,"1,866",85.67,"2,178"
UT,2020-12-07,"2,844",54.56,"5,213",574,11.01,474,73.72,643
VA,2020-12-07,"11,531",67.36,"17,118","1,878",10.97,"1,384",68.04,"2,034"
VT,2020-12-07,623,53.07,"1,174",34,2.9,61,58.65,104
OH,2020-12-07,"19,996",68.24,"29,301","5,469",18.7,"3,108",76.76,"4,049"
OR,2020-12-07,"4,592",72.53,"6,331",667,10.54,494,65.71,751
RI,2020-12-07,"1,736",87.68,"1,980",459,23.18,132,83.54,158
TX,2020-12-07,"45,938",73.0,"63,208","9,470",15.02,"6,313",89.1,"7,091"
WA,2020-12-07,"8,188",65.35,"12,530","1,132",9.03,873,67.99,"1,284"
WI,2020-12-07,"7,914",64.2,"12,328","1,794",14.88,986,61.83,"1,595"
WV,2020-12-07,"3,643",72.27,"5,041",691,13.71,490,80.33,610
WY,2020-12-07,613,43.2,"1,419",207,14.7,62,49.21,126
CW,2020-12-08,"526,177",74.66,"705,075","110,541",15.75,"67,035",78.26,"85,653"
AL,2020-12-08,"10,957",77.6,"14,120","2,178",15.43,"1,331",90.98,"1,463"
AZ,2020-12-08,"10,680",77.02,"13,867","3,262",23.56,"1,462",69.89,"2,092"
CA,2020-12-08,"47,976",76.97,"62,328","11,884",19.07,"6,086",81.78,"7,442"
CT,2020-12-08,"6,145",75.63,"8,125","1,456",17.92,639,57.88,"1,104"
DC,2020-12-08,"2,373",81.6,"2,908",269,9.25,289,86.53,334
DE,2020-12-08,"1,852",72.97,"2,538",406,16.0,146,83.91,174
GA,2020-12-08,"15,577",82.2,"18,950","2,957",15.6,"2,327",87.78,"2,651"
ID,2020-12-08,"1,827",58.69,"3,113",432,13.88,202,70.63,286
IN,2020-12-08,"11,507",69.86,"16,472","3,212",19.5,"1,718",79.02,"2,174"
KS,2020-12-08,"4,655",59.47,"7,828","1,186",15.15,675,82.12,822
LA,2020-12-08,"8,976",71.17,"12,612","1,385",11.19,"1,402",77.89,"1,800"
MD,2020-12-08,"7,915",83.06,"9,529","1,993",20.92,"1,008",79.94,"1,261"
MI,2020-12-08,"16,016",78.23,"20,473","4,028",19.67,"2,158",82.68,"2,610"
AK,2020-12-08,902,62.25,"1,449",164,11.32,102,77.27,132
AR,2020-12-08,"5,569",73.54,"7,573","1,122",14.82,830,82.1,"1,011"
CO,2020-12-08,"6,859",67.02,"10,235","1,751",17.11,"1,046",70.49,"1,484"
FL,2020-12-08,"41,537",80.06,"51,882","5,158",10.12,"5,135",81.81,"6,277"
HI,2020-12-08,"1,713",68.93,"2,485",71,2.86,163,70.87,230
IA,2020-12-08,"4,876",61.12,"7,978",897,11.39,525,76.64,685
IL,2020-12-08,"20,461",69.95,"29,250","5,328",18.22,"2,541",68.69,"3,699"
KY,2020-12-08,"8,624",72.66,"11,869","1,816",15.3,"1,178",75.56,"1,559"
MA,2020-12-08,"11,828",74.59,"15,857","1,461",9.21,"1,083",67.65,"1,601"
ME,2020-12-08,"1,979",68.83,"2,875",206,7.17,228,72.38,315
MN,2020-12-08,"7,300",75.16,"9,712","1,787",18.4,775,80.06,968
MO,2020-12-08,"11,401",79.67,"14,310","2,711",18.94,"1,594",88.56,"1,800"
MS,2020-12-08,"5,254",65.32,"8,043","1,192",14.85,705,82.36,856
MT,2020-12-08,"1,934",67.67,"2,858",391,13.68,162,72.0,225
NC,2020-12-08,"16,632",77.65,"21,419","2,697",12.67,"2,026",82.56,"2,454"
ND,2020-12-08,"1,506",73.39,"2,052",388,19.22,139,67.48,206
NE,2020-12-08,"3,364",70.6,"4,765",835,17.82,423,73.69,574
NH,2020-12-08,"2,003",72.28,"2,771",250,9.02,179,63.48,282
NJ,2020-12-08,"15,340",78.57,"19,524","3,672",18.81,"1,568",66.95,"2,342"
NM,2020-12-08,"2,655",74.27,"3,575",879,24.6,394,96.57,408
NV,2020-12-08,"5,949",80.54,"7,386","1,799",24.94,802,86.24,930
NY,2020-12-08,"35,437",75.36,"47,024","5,898",12.54,"3,611",61.34,"5,887"
OK,2020-12-08,"6,562",69.7,"9,415","1,623",17.5,984,89.54,"1,099"
PA,2020-12-08,"25,308",78.04,"32,430","6,640",20.7,"3,321",83.88,"3,959"
SC,2020-12-08,"8,003",82.73,"9,674","1,180",12.2,"1,044",82.46,"1,266"
SD,2020-12-08,"1,547",65.38,"2,366",475,20.08,182,74.29,245
TN,2020-12-08,"12,517",75.78,"16,517","2,763",17.23,"1,877",85.83,"2,187"
UT,2020-12-08,"3,121",59.86,"5,214",574,11.01,489,75.81,645
VA,2020-12-08,"11,858",69.35,"17,098","1,920",11.23,"1,400",69.03,"2,028"
VT,2020-12-08,658,56.14,"1,172",32,2.73,59,57.84,102
OH,2020-12-08,"21,010",71.02,"29,581","5,544",18.78,"3,241",78.95,"4,105"
OR,2020-12-08,"4,769",74.73,"6,382",660,10.34,516,67.01,770
RI,2020-12-08,"1,782",86.84,"2,052",498,24.27,142,87.12,163
TX,2020-12-08,"48,294",75.66,"64,095","9,644",15.08,"6,606",90.21,"7,322"
WA,2020-12-08,"8,489",67.9,"12,502","1,145",9.16,914,70.96,"1,288"
WI,2020-12-08,"8,253",66.76,"12,363","1,812",14.99,"1,044",65.22,"1,600"
WV,2020-12-08,"3,754",74.48,"5,040",698,13.85,500,81.97,610
WY,2020-12-08,674,47.5,"1,419",211,14.99,64,51.19,126
CW,2020-12-09,"534,286",75.65,"706,524","110,970",15.78,"67,543",79.03,"85,468"
AL,2020-12-09,"11,131",78.7,"14,143","2,196",15.53,"1,326",91.96,"1,442"
AZ,2020-12-09,"10,788",78.04,"13,824","3,375",24.45,"1,491",70.83,"2,105"
CA,2020-12-09,"49,081",78.33,"62,658","12,395",19.78,"6,219",83.64,"7,435"
CT,2020-12-09,"6,187",76.1,"8,130","1,389",17.08,653,59.15,"1,104"
DC,2020-12-09,"2,467",84.34,"2,925",258,8.82,296,87.83,337
DE,2020-12-09,"1,842",72.01,"2,558",407,15.91,154,88.51,174
GA,2020-12-09,"15,984",83.8,"19,073","3,042",15.95,"2,334",88.24,"2,645"
ID,2020-12-09,"1,836",58.77,"3,124",437,13.99,219,75.78,289
IN,2020-12-09,"11,620",70.48,"16,487","3,203",19.43,"1,732",79.77,"2,172"
KS,2020-12-09,"4,929",62.83,"7,845","1,224",15.6,689,84.85,812
LA,2020-12-09,"9,157",72.22,"12,679","1,376",11.05,"1,417",78.5,"1,805"
MD,2020-12-09,"7,957",83.62,"9,516","1,952",20.51,"1,007",78.12,"1,289"
MI,2020-12-09,"16,412",79.14,"20,738","3,869",18.66,"2,167",83.06,"2,609"
AK,2020-12-09,904,61.85,"1,462",156,10.67,102,77.27,132
AR,2020-12-09,"5,716",75.1,"7,612","1,099",14.44,826,82.27,"1,004"
CO,2020-12-09,"6,955",67.99,"10,229","1,702",16.64,"1,052",69.61,"1,512"
FL,2020-12-09,"41,625",80.35,"51,803","5,198",10.22,"5,187",82.62,"6,278"
HI,2020-12-09,"1,749",70.3,"2,488",68,2.71,160,69.57,230
IA,2020-12-09,"5,120",64.22,"7,973",858,10.9,502,72.86,689
IL,2020-12-09,"20,768",70.89,"29,296","5,274",18.0,"2,547",68.99,"3,692"
KY,2020-12-09,"8,623",72.66,"11,868","1,778",14.99,"1,194",76.59,"1,559"
MA,2020-12-09,"12,090",76.57,"15,790","1,489",9.43,"1,075",69.4,"1,549"
ME,2020-12-09,"1,994",69.26,"2,879",219,7.61,236,76.38,309
MN,2020-12-09,"7,456",75.85,"9,830","1,754",17.84,803,80.87,993
MO,2020-12-09,"11,591",80.14,"14,464","2,613",18.07,"1,591",88.59,"1,796"
MS,2020-12-09,"5,358",66.08,"8,108","1,206",14.91,711,83.26,854
MT,2020-12-09,"1,970",69.0,"2,855",388,13.59,174,76.65,227
NC,2020-12-09,"16,884",78.33,"21,555","2,712",12.66,"2,042",83.21,"2,454"
ND,2020-12-09,"1,551",76.25,"2,034",388,19.08,137,65.55,209
NE,2020-12-09,"3,398",71.34,"4,763",826,17.64,436,76.36,571
NH,2020-12-09,"2,018",72.85,"2,770",247,8.92,180,64.01,282
NJ,2020-12-09,"15,432",78.9,"19,560","3,678",18.8,"1,603",68.04,"2,356"
NM,2020-12-09,"2,736",75.54,"3,622",856,23.62,391,95.13,411
NV,2020-12-09,"5,985",81.16,"7,374","1,818",25.25,796,86.62,919
NY,2020-12-09,"35,481",75.76,"46,835","5,972",12.75,"3,654",63.87,"5,721"
OK,2020-12-09,"6,888",72.66,"9,480","1,634",17.49,988,90.56,"1,091"
PA,2020-12-09,"25,690",79.48,"32,321","6,799",21.28,"3,348",83.05,"4,032"
SC,2020-12-09,"8,194",84.29,"9,721","1,191",12.25,"1,040",82.47,"1,261"
SD,2020-12-09,"1,531",64.98,"2,356",464,19.69,179,73.06,245
TN,2020-12-09,"12,581",76.09,"16,534","2,742",17.09,"1,868",85.57,"2,183"
UT,2020-12-09,"3,107",59.59,"5,214",545,10.45,492,78.1,630
VA,2020-12-09,"12,159",71.11,"17,099","1,957",11.45,"1,442",72.57,"1,987"
VT,2020-12-09,680,57.92,"1,174",23,1.96,65,63.73,102
OH,2020-12-09,"21,214",71.67,"29,601","5,519",18.68,"3,228",78.67,"4,103"
OR,2020-12-09,"4,879",75.32,"6,478",688,10.63,521,67.66,770
RI,2020-12-09,"1,800",84.79,"2,123",529,24.92,140,85.37,164
TX,2020-12-09,"49,161",77.0,"64,125","9,634",15.06,"6,608",90.58,"7,296"
WA,2020-12-09,"8,646",68.85,"12,557","1,149",9.15,916,70.48,"1,299"
WI,2020-12-09,"8,330",67.19,"12,397","1,762",14.53,"1,033",64.39,"1,604"
WV,2020-12-09,"3,931",77.75,"5,056",715,14.14,498,81.56,610
WY,2020-12-09,699,49.26,"1,419",198,14.06,73,57.94,126
CW,2020-12-10,"534,597",75.49,"708,472","111,870",15.86,"67,671",79.04,"85,612"
AL,2020-12-10,"11,087",78.28,"14,163","2,236",15.79,"1,317",91.71,"1,436"
AZ,2020-12-10,"11,014",78.77,"13,983","3,479",24.92,"1,511",72.02,"2,098"
CA,2020-12-10,"49,226",77.64,"63,405","12,905",20.35,"6,342",84.33,"7,520"
CT,2020-12-10,"6,238",76.59,"8,145","1,363",16.73,651,59.07,"1,102"
DC,2020-12-10,"2,503",84.7,"2,955",269,9.1,281,83.63,336
DE,2020-12-10,"1,871",72.89,"2,567",424,16.52,159,88.83,179
GA,2020-12-10,"15,859",83.6,"18,970","3,119",16.44,"2,310",87.97,"2,626"
ID,2020-12-10,"1,839",59.07,"3,113",432,13.88,218,75.69,288
IN,2020-12-10,"11,556",70.13,"16,479","3,178",19.29,"1,719",79.11,"2,173"
KS,2020-12-10,"4,936",62.84,"7,855","1,209",15.39,675,83.23,811
LA,2020-12-10,"9,203",72.68,"12,663","1,387",11.15,"1,412",77.29,"1,827"
MD,2020-12-10,"8,053",84.47,"9,533","2,032",21.32,"1,012",79.5,"1,273"
MI,2020-12-10,"16,170",77.88,"20,763","3,860",18.59,"2,171",84.02,"2,584"
AK,2020-12-10,854,59.6,"1,433",138,9.63,96,72.18,133
AR,2020-12-10,"5,727",74.88,"7,648","1,055",13.79,825,82.34,"1,002"
CO,2020-12-10,"7,018",68.56,"10,235","1,683",16.44,"1,021",67.71,"1,508"
FL,2020-12-10,"41,512",80.05,"51,856","5,204",10.22,"5,232",83.23,"6,286"
HI,2020-12-10,"1,743",69.83,"2,496",69,2.76,157,67.97,231
IA,2020-12-10,"5,057",63.39,"7,978",844,10.72,531,77.07,689
IL,2020-12-10,"20,624",70.49,"29,258","5,252",17.95,"2,552",69.1,"3,693"
KY,2020-12-10,"8,527",71.7,"11,893","1,736",14.6,"1,183",74.1,"1,597"
MA,2020-12-10,"12,086",78.49,"15,399","1,471",9.55,"1,061",72.28,"1,468"
ME,2020-12-10,"2,015",70.18,"2,871",218,7.61,234,72.83,322
MN,2020-12-10,"7,579",76.59,"9,895","1,707",17.25,798,80.01,998
MO,2020-12-10,"11,658",78.08,"14,931","2,587",17.33,"1,551",85.74,"1,809"
MS,2020-12-10,"5,390",66.82,"8,067","1,211",15.01,715,82.75,864
MT,2020-12-10,"1,998",69.52,"2,874",389,13.54,166,74.77,222
NC,2020-12-10,"16,841",78.36,"21,492","2,768",12.96,"2,040",83.13,"2,454"
ND,2020-12-10,"1,562",75.83,"2,060",376,18.23,133,62.15,214
NE,2020-12-10,"3,336",69.82,"4,778",807,17.18,422,73.26,576
NH,2020-12-10,"2,053",74.12,"2,770",254,9.17,186,65.96,282
NJ,2020-12-10,"15,270",77.81,"19,624","3,703",18.87,"1,583",66.79,"2,370"
NM,2020-12-10,"2,895",75.83,"3,818",886,23.21,412,100.98,408
NV,2020-12-10,"6,028",81.37,"7,408","1,878",25.96,765,84.62,904
NY,2020-12-10,"35,442",75.44,"46,979","6,119",13.02,"3,666",63.82,"5,744"
OK,2020-12-10,"7,030",73.82,"9,523","1,620",17.27,977,88.34,"1,106"
PA,2020-12-10,"25,520",79.07,"32,274","6,842",21.44,"3,329",81.95,"4,062"
SC,2020-12-10,"8,198",84.08,"9,750","1,213",12.44,"1,033",81.47,"1,268"
SD,2020-12-10,"1,546",65.43,"2,363",440,18.62,172,69.92,246
TN,2020-12-10,"12,798",77.51,"16,512","2,778",17.33,"1,890",87.1,"2,170"
UT,2020-12-10,"3,119",59.83,"5,213",571,10.95,514,82.24,625
VA,2020-12-10,"12,231",71.43,"17,124","2,002",11.69,"1,481",74.38,"1,991"
VT,2020-12-10,700,59.68,"1,173",22,1.88,67,65.69,102
OH,2020-12-10,"21,263",71.7,"29,657","5,509",18.61,"3,239",79.52,"4,073"
OR,2020-12-10,"4,899",75.01,"6,531",686,10.5,536,69.34,773
RI,2020-12-10,"1,744",84.76,"2,058",504,24.5,139,90.26,154
TX,2020-12-10,"49,348",76.75,"64,562","9,724",15.1,"6,626",89.93,"7,369"
WA,2020-12-10,"8,621",68.52,"12,581","1,099",8.74,925,70.94,"1,304"
WI,2020-12-10,"8,249",66.64,"12,378","1,684",13.91,"1,069",66.65,"1,604"
